programa_id,programa_nombre,periodo,anio,mes_num,mes_nombre,indicador_id,indicador_nombre,categoria,orden_dashboard,unidad,valor_mes,valor_acumulado,meta_anual,meta_cohorte,pct_meta_anual,pct_cohorte,semaforo,criterio_de_conteo
fortalecimiento_municipal,Fortalecimiento municipal,validado,,,,FM_GEN_01,Municipalidades con capacidad instalada,index_general,1,municipalidades,0.0,0.0,15.0,15.0,0.0,0.0,muted,Solo municipios con capacidad instalada confirmada.
fortalecimiento_municipal,Fortalecimiento municipal,validado,,,,FM_GEN_02,Estudios de caracterización de desechos y residuos sólidos y/o aguas residuales,index_general,2,estudios,4.0,4.0,6.0,6.0,0.6666666666666666,0.6666666666666666,red,Solo estudios municipales finalizados y autovalidados.
fortalecimiento_municipal,Fortalecimiento municipal,validado,,,,FM_GEN_03,PIRDES Municipales,index_general,3,planes integrales,2.0,2.0,5.0,5.0,0.4,0.4,red,Solo PIRDES municipales implementados y deduplicados por municipio.
fortalecimiento_municipal,Fortalecimiento municipal,validado,,,,FM_GEN_04,Asistencias técnicas municipales en aguas residuales,index_general,4,asistencias técnicas,3.0,3.0,20.0,20.0,0.15,0.15,red,Solo asistencias técnicas municipales en aguas residuales.
fortalecimiento_municipal,Fortalecimiento municipal,validado,,,,FM_SPEC_01,Personal municipal capacitado por eje temático,index_especifico,100,ejes cumplidos,0.0,0.0,4.0,4.0,0.0,0.0,muted,"No se autovalida ningún eje núcleo porque no hay evidencia explícita de SNIP, SIG, recolección digital y cumplimiento legal."
fortalecimiento_municipal,Fortalecimiento municipal,validado,,,,FM_SPEC_02,Estudios de caracterización finalizados,index_especifico,100,estudios,4.0,4.0,6.0,6.0,0.6666666666666666,0.6666666666666666,red,Estudios municipales confirmados para tablero específico.
fortalecimiento_municipal,Fortalecimiento municipal,validado,,,,FM_SPEC_03,PIRDES finalizados / implementados,index_especifico,100,PIRDES,2.0,2.0,5.0,5.0,0.4,0.4,red,PIRDES municipales confirmados para tablero específico.
fortalecimiento_municipal,Fortalecimiento municipal,validado,,,,FM_SPEC_04,Reuniones CODEMA / eje agua y saneamiento,index_especifico,100,reuniones,3.0,3.0,10.0,10.0,0.3,0.3,red,Reuniones CODEMA confirmadas.
fortalecimiento_municipal,Fortalecimiento municipal,validado,,,,FM_SPEC_05,Asistencias técnicas municipales en aguas residuales,index_especifico,100,asistencias técnicas,3.0,3.0,20.0,20.0,0.15,0.15,red,Asistencias técnicas municipales confirmadas para tablero específico.
fortalecimiento_municipal,Fortalecimiento municipal,validado,,,,FM_SPEC_06,Municipalidades con avance hacia capacidad instalada,index_especifico,100,municipalidades,1.0,1.0,15.0,15.0,0.06666666666666667,0.06666666666666667,red,Municipalidades con avance hacia capacidad instalada.
