programa,anio,mes_num,mes,zona,mujeres_activas,mujeres_actividades,mujeres_comercializacion,mujeres_comercializacion_no_inscritas,ingreso_diario_lideresa,mujeres_inscritas_total,mujeres_nuevas_inscritas,materiales_lideresas_qq,materiales_municipalidad_qq,total_materiales_qq,ingreso_bruto_lideresas,gasto_transporte,pago_coop_lideresas,ingreso_neto_lideresas,ingreso_bruto_municipalidad,pago_coop_municipalidad,ingreso_neto_municipalidad,ingreso_bruto_total,ingreso_neto_total_territorio,ingreso_neto_cooperativa,horas_trabajadas_lideresas,pet_qq,vidrio_cerveza_gronn_unid,vidrio_vino_gronn_unid,vidrio_cerveza_surusic_unid,vidrio_vino_surusic_unid,vidrio_peso_qq,vidrio_total_qq,ingreso_pet,ingreso_vidrio_peso,ingreso_vidrio_gronn,ingreso_vidrio_surusic,territorios_reportados
atitlan_recicla,2026,1,ENE,Kaqchikel,5.5,5.0,1.75,0.0,410.3233333333333,7.0,0.0,1054.06,0.0,1054.06,21878.780000000002,1750.0,4.8,21873.980000000003,0.0,0.0,0.0,21878.780000000002,21873.980000000003,4.8,629.3,70.52999999999999,0.0,0.0,0.0,0.0,591.01,0.0,2321.2000000000003,13299.43,0.0,0.0,4
atitlan_recicla,2026,1,ENE,Las Lagunas,2.25,2.25,2.25,0.0,61.19200000000001,5.0,0.0,139.6,40.11,179.70999999999998,3270.5,0.0,367.8,2902.7,897.55,224.0,673.55,4168.05,3576.25,591.8,307.1,16.23,454.0,176.0,0.0,0.0,113.99000000000001,0.0,475.15,2152.15,283.5,0.0,4
atitlan_recicla,2026,1,ENE,Tzolojya,2.8,2.0,1.0,0.2,68.05575,6.0,0.0,214.31,29.19,243.5,4270.58,0.0,14.4,4256.18,663.53,64.98,598.55,4934.110000000001,4854.73,79.38,338.0,10.59,0.0,0.0,0.0,0.0,139.88,0.0,347.05,2928.08,0.0,0.0,5
atitlan_recicla,2026,1,ENE,Zona Sur,8.0,8.0,7.5,1.0,121.35701388888889,11.0,0.0,416.03,0.0,416.03,10677.75,905.0,218.4,10459.35,0.0,0.0,0.0,10677.75,10459.35,218.4,830.0,43.85,0.0,0.0,0.0,0.0,278.0,0.0,1999.5,4869.0,0.0,0.0,2
atitlan_recicla,2026,2,FEB,Kaqchikel,5.5,3.5,2.25,0.0,206.88422222222223,7.0,0.0,698.98,0.0,698.98,13304.5,1300.0,2.75,13301.75,0.0,0.0,0.0,13304.5,13301.75,2.75,450.0,29.869999999999997,0.0,0.0,0.0,0.0,385.34999999999997,0.0,907.9,8247.720000000001,0.0,0.0,4
atitlan_recicla,2026,2,FEB,Las Lagunas,2.25,2.25,2.25,0.0,49.11205555555555,5.0,0.0,122.66,97.66,220.32,2440.5699999999997,0.0,0.0,2440.5699999999997,1652.09,303.16,1348.9299999999998,4092.66,3789.5,303.16,260.7,9.81,0.0,0.0,0.0,0.0,154.71,0.0,268.1,2692.6,0.0,0.0,4
atitlan_recicla,2026,2,FEB,Tzolojya,2.8,1.6,0.8,0.2,98.31366666666668,6.0,0.0,182.52,48.82,231.34,3541.6099999999997,0.0,17.1,3524.51,1277.5,135.15,1142.35,4819.11,4666.860000000001,152.25,396.0,17.04,0.0,0.0,0.0,0.0,124.07,0.0,574.45,2564.66,0.0,0.0,5
atitlan_recicla,2026,2,FEB,Zona Sur,6.5,6.5,6.0,0.5,152.4005952380952,11.0,0.0,412.45,0.0,412.45,9905.75,880.0,148.75,9757.0,0.0,0.0,0.0,9905.75,9757.0,148.75,875.0,38.4,0.0,0.0,0.0,0.0,314.0,0.0,1703.0,5441.0,0.0,0.0,2
atitlan_recicla,2026,3,MAR,Kaqchikel,5.5,3.5,2.25,0.0,210.0776,7.0,0.0,709.5699999999999,0.0,709.5699999999999,13121.41,1400.0,0.35,13121.06,0.0,0.0,0.0,13121.41,13121.06,0.35,669.3,35.28,0.0,0.0,0.0,0.0,354.18,0.0,1119.05,7751.83,0.0,0.0,4
atitlan_recicla,2026,3,MAR,Las Lagunas,2.25,2.25,2.25,0.0,58.10966666666667,5.0,0.0,99.94,165.75,265.69,1954.76,0.0,2.4,1952.3600000000001,3180.69,487.04,2693.65,5135.450000000001,4646.01,489.44,224.5,22.76,0.0,0.0,0.0,0.0,179.07,0.0,515.6,2990.52,0.0,0.0,4
atitlan_recicla,2026,3,MAR,Tzolojya,2.8,1.8,1.0,0.2,104.61555555555555,6.0,0.0,192.26999999999998,179.17,371.44,3596.5,0.0,6.0,3590.5,3043.02,135.0,2908.02,6639.52,6498.52,141.0,230.0,18.86,0.0,0.0,0.0,0.0,154.16,0.0,675.65,3096.32,0.0,0.0,5
